FRP No.	FRP	infection_cpcr-d0	maturity	CW	SC	CH	holdtank	TREATMENT	lowtag	hightag	treattank	where	tube_no
2017-6185	6185	0	I	124.8	3	21.8	8A	A	3630	3824	8	drain end	487
2017-6186	6186	0	I	129.4	3	20.8	1C	C	3638	3843	9	drain end	171
2017-6186	6186	0	I	129.4	3	20.8	9A	A	3638	3843	9	drain end	306
2017-6186	6186	0	I	129.4	3	20.8	9A	A	3638	3843	9	drain end	510
2017-6187	6187	1	I	129.9	3	19.1	1C	C	3641	3838	2	drain end	158
2017-6187	6187	1	I	129.9	3	19.1	2C	C	3641	3838	2	drain end	239
2017-6187	6187	1	I	129.9	3	19.1	2C	C	3641	3838	2	drain end	431
2017-6188	6188	1	I	128.9	3	20.3	1C	C	3642	3837	3	drain end	172
2017-6188	6188	1	I	128.9	3	20.3	3C	C	3642	3837	3	drain end	245
2017-6188	6188	1	I	128.9	3	20.3	3C	C	3642	3837	3	drain end	443
2017-6189	6189	0	I	126.4	3	20.8	1C	C	3643	3850	1	drain end	176
2017-6189	6189	0	I	126.4	3	20.8	1C	C	3643	3850	1	drain end	216
2017-6189	6189	0	I	126.4	3	20.8	1C	C	3643	3850	1	drain end	422
2017-6190	6190	3	M	126.2	3	25.8	1C	C	3648	3841	1	valve end	101
2017-6190	6190	3	M	126.2	3	25.8	3C	C	3648	3841	1	valve end	256
2017-6190	6190	3	M	126.2	3	25.8	3C	C	3648	3841	1	valve end	452
2017-6191	6191	0	I	127.2	3	20.5	1C	C	3649	3852	2	drain end	95
2017-6191	6191	0	I	127.2	3	20.5	2C	C	3649	3852	2	drain end	227
2017-6191	6191	0	I	127.2	3	20.5	2C	C	3649	3852	2	drain end	442
2017-6192	6192	1	I	132.2	3	21.7	1C	C	3658	3860	7	drain end	178
2017-6192	6192	1	I	132.2	3	21.7	7A	A	3658	3860	7	drain end	359
2017-6192	6192	1	I	132.2	3	21.7	7A	A	3658	3860	7	drain end	463
2017-6193	6193	1	I	130.5	3	19	1C	C	3662	3866	8	drain end	174
2017-6193	6193	1	I	130.5	3	19	8A	A	3662	3866	8	drain end	333
2017-6193	6193	1	I	130.5	3	19	8A	A	3662	3866	8	drain end	482
2017-6194	6194	0	M	130.6	3	27.6	8A	A	3663	3862	2	drain end	98
2017-6194	6194	0	M	130.6	3	27.6	2C	C	3663	3862	2	drain end	235
2017-6194	6194	0	M	130.6	3	27.6	2C	C	3663	3862	2	drain end	432
2017-6195	6195	1	I	126.3	3	20.6	1C	C	3664	3854	9	drain end	150
2017-6195	6195	1	I	126.3	3	20.6	9A	A	3664	3854	9	drain end	304
2017-6195	6195	1	I	126.3	3	20.6	9A	A	3664	3854	9	drain end	501
2017-6196	6196	1	I	140.4	3	20	1C	C	3666	3867	1	drain end	170
2017-6196	6196	1	I	140.4	3	20	1C	C	3666	3867	1	drain end	203
2017-6196	6196	1	I	140.4	3	20	1C	C	3666	3867	1	drain end	408
2017-6197	6197	0	M	133.9	3	30.3	1C	C	3667	3864	3	drain end	161
2017-6197	6197	0	M	133.9	3	30.3	3C	C	3667	3864	3	drain end	244
2017-6197	6197	0	M	133.9	3	30.3	3C	C	3667	3864	3	drain end	449
2017-6198	6198	1	I	129.6	3	18.5	1C	C	3668	3870	2	drain end	154
2017-6198	6198	1	I	129.6	3	18.5	2C	C	3668	3870	2	drain end	230
2017-6198	6198	1	I	129.6	3	18.5	2C	C	3668	3870	2	drain end	428
2017-6199	6199	1	I	134.1	3	20.6	1C	C	3670	3871	3	drain end	151
2017-6199	6199	1	I	134.1	3	20.6	3C	C	3670	3871	3	drain end	254
2017-6199	6199	1	I	134.1	3	20.6	3C	C	3670	3871	3	drain end	445
2017-6200	6200	3	M	130.8	3	28.1	1C	C	3675	3872	1	valve end	94
2017-6200	6200	3	M	130.8	3	28.1	1C	C	3675	3872	1	valve end	208
2017-6200	6200	3	M	130.8	3	28.1	1C	C	3675	3872	1	valve end	416
2017-6201	6201	1	I	134.2	3	20	1C	C	3678	3881	7	drain end	163
2017-6201	6201	1	I	134.2	3	20	7A	A	3678	3881	7	drain end	341
2017-6201	6201	1	I	134.2	3	20	7A	A	3678	3881	7	drain end	478
2017-6202	6202	1	I	141.8	3	22.5	3C	C	3679	3893	8	drain end	109
2017-6202	6202	1	I	141.8	3	22.5	8A	A	3679	3893	8	drain end	337
2017-6202	6202	1	I	141.8	3	22.5	8A	A	3679	3893	8	drain end	495
2017-6203	6203	0	M	133.3	4	28.8	3C	C	3687	3892	2	drain end	113
2017-6203	6203	0	M	133.3	4	28.8	2C	C	3687	3892	2	drain end	222
2017-6203	6203	0	M	133.3	4	28.8	2C	C	3687	3892	2	drain end	425
2017-6204	6204	3	M	133	3	30	3C	C	3701	3709	3	drain end	114
2017-6204	6204	3	M	133	3	30	3C	C	3701	3709	3	drain end	252
2017-6204	6204	3	M	133	3	30	3C	C	3701	3709	3	drain end	448
2017-6205	6205	0	I	130	3	22	3C	C	3703	3728	7	drain end	121
2017-6205	6205	0	I	130	3	22	7A	A	3703	3728	7	drain end	342
2017-6205	6205	0	I	130	3	22	7A	A	3703	3728	7	drain end	475
2017-6206	6206	1	I	131.6	3	19.9	3C	C	3706	3900	9	drain end	103
2017-6206	6206	1	I	131.6	3	19.9	9A	A	3706	3900	9	drain end	319
2017-6206	6206	1	I	131.6	3	19.9	9A	A	3706	3900	9	drain end	509
2017-6207	6207	1	I	119.3	3	19	3C	C	3707	3913	1	drain end	128
2017-6207	6207	1	I	119.3	3	19	1C	C	3707	3913	1	drain end	202
2017-6207	6207	1	I	119.3	3	19	1C	C	3707	3913	1	drain end	412
2017-6208	6208	1	I	126.2	3	19.1	3C	C	3710	3723	2	drain end	106
2017-6208	6208	1	I	126.2	3	19.1	2C	C	3710	3723	2	drain end	229
2017-6208	6208	1	I	126.2	3	19.1	2C	C	3710	3723	2	drain end	435
2017-6209	6209	1	I	126.8	3	20	3C	C	3714	3716	3	drain end	125
2017-6209	6209	1	I	126.8	3	20	3C	C	3714	3716	3	drain end	251
2017-6209	6209	1	I	126.8	3	20	3C	C	3714	3716	3	drain end	444
2017-6210	6210	1	I	127.7	3	19	3C	C	3718	3914	4	anywhere	120
2017-6210	6210	1	I	127.7	3	19	4W	W	3718	3914	4	anywhere	274
2017-6210	6210	1	I	127.7	3	19	4W	W	3718	3914	4	anywhere	401
